Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c0003ivv,4,"Thursday, May 19, 2011 15:37:56 UTC",-24.5786,179.9965,4.9,508.50,70,"south of the Fiji Islands"
ci,14987796,2,"Thursday, May 19, 2011 14:57:01 UTC",33.0017,-116.3403,1.4,9.70,41,"Southern California"
ak,10236940,2,"Thursday, May 19, 2011 14:48:08 UTC",64.5175,-151.1835,1.3,10.30,14,"Central Alaska"
ak,10237703,2,"Thursday, May 19, 2011 14:39:36 UTC",62.0091,-150.9787,1.6,71.20,18,"Central Alaska"
ak,10236929,2,"Thursday, May 19, 2011 14:19:21 UTC",60.6605,-150.3298,1.8,47.20,12,"Kenai Peninsula, Alaska"
nc,71572170,2,"Thursday, May 19, 2011 13:36:39 UTC",36.4803,-121.0570,1.2,4.70,17,"Central California"
nn,00337844,7,"Thursday, May 19, 2011 13:35:44 UTC",38.4287,-118.7257,1.5,5.90,14,"Nevada"
nn,00337843,7,"Thursday, May 19, 2011 13:34:34 UTC",38.4253,-118.7163,1.2,0.00, 9,"Nevada"
nc,71572165,2,"Thursday, May 19, 2011 13:29:16 UTC",37.4267,-121.7742,1.1,8.00,29,"San Francisco Bay area, California"
nc,71572155,2,"Thursday, May 19, 2011 13:18:38 UTC",36.4768,-121.0587,1.1,5.20,19,"Central California"
ak,10236914,2,"Thursday, May 19, 2011 12:50:50 UTC",63.1844,-150.7482,1.3,132.20,19,"Central Alaska"
ak,10236909,2,"Thursday, May 19, 2011 12:38:59 UTC",60.8118,-151.7309,2.3,73.80,35,"Kenai Peninsula, Alaska"
us,c0003ity,5,"Thursday, May 19, 2011 12:25:22 UTC",-20.1394,168.2076,5.0,48.60,57,"Loyalty Islands, New Caledonia"
pr,11139002,0,"Thursday, May 19, 2011 12:13:12 UTC",18.1130,-68.0999,2.7,94.20, 4,"Mona Passage, Dominican Republic"
nc,71572135,2,"Thursday, May 19, 2011 11:51:39 UTC",38.8912,-122.8628,1.0,2.40,40,"Northern California"
ci,14987740,4,"Thursday, May 19, 2011 11:33:02 UTC",33.0035,-116.3402,1.1,7.70,45,"Southern California"
nc,71572130,2,"Thursday, May 19, 2011 11:28:49 UTC",36.2692,-120.3262,1.7,5.90,34,"Central California"
nn,00337832,7,"Thursday, May 19, 2011 11:26:02 UTC",38.4307,-118.7283,1.2,5.30, 7,"Nevada"
ci,14987732,2,"Thursday, May 19, 2011 11:24:27 UTC",33.1317,-116.0948,1.3,15.70,41,"Southern California"
ci,14987724,2,"Thursday, May 19, 2011 11:20:35 UTC",33.2867,-115.6827,1.4,3.20,31,"Southern California"
nc,71572125,2,"Thursday, May 19, 2011 11:14:18 UTC",39.2367,-123.1738,1.3,7.40,11,"Northern California"
ak,10236899,3,"Thursday, May 19, 2011 10:47:05 UTC",60.8326,-150.4901,1.5,54.70,11,"Kenai Peninsula, Alaska"
nn,00337829,7,"Thursday, May 19, 2011 10:42:16 UTC",38.4320,-118.7263,1.0,5.60, 7,"Nevada"
nc,71572115,2,"Thursday, May 19, 2011 10:39:38 UTC",37.9790,-118.6668,1.5,11.20,21,"Central California"
us,c0003it7,7,"Thursday, May 19, 2011 10:35:26 UTC",30.6804,-105.7267,3.4,17.40,36,"Chihuahua, Mexico"
nc,71572095,3,"Thursday, May 19, 2011 10:07:56 UTC",38.7988,-122.7983,1.5,3.10,49,"Northern California"
nc,71572100,2,"Thursday, May 19, 2011 10:06:14 UTC",38.8005,-122.7978,1.2,3.30,47,"Northern California"
ak,10236889,3,"Thursday, May 19, 2011 10:02:03 UTC",55.7341,-159.7626,2.1,16.40,11,"Alaska Peninsula"
ak,10236887,2,"Thursday, May 19, 2011 09:46:14 UTC",63.0850,-149.6483,1.2,88.30,20,"Central Alaska"
ci,14987700,2,"Thursday, May 19, 2011 09:44:20 UTC",32.9940,-116.4765,1.4,9.10,55,"Southern California"
nc,71572090,3,"Thursday, May 19, 2011 09:40:04 UTC",37.9775,-118.6655,2.3,10.90,42,"Central California"
ak,10236883,2,"Thursday, May 19, 2011 09:33:13 UTC",60.0192,-151.2521,1.5,26.80,10,"Kenai Peninsula, Alaska"
ci,14987660,2,"Thursday, May 19, 2011 09:26:19 UTC",36.0568,-117.8780,1.0,3.50,30,"Central California"
nc,71572075,5,"Thursday, May 19, 2011 09:22:12 UTC",37.9785,-118.6620,2.5,10.80,40,"Central California"
nc,71572080,3,"Thursday, May 19, 2011 09:21:18 UTC",39.1867,-123.3128,1.4,6.30,13,"Northern California"
us,c0003isq,7,"Thursday, May 19, 2011 09:12:47 UTC",37.1425,142.6520,5.4,35.00,306,"off the east coast of Honshu, Japan"
nc,71572070,2,"Thursday, May 19, 2011 09:11:55 UTC",37.9778,-118.6628,2.0,10.90,39,"Central California"
nn,00337818,7,"Thursday, May 19, 2011 09:09:16 UTC",36.8509,-114.8017,1.5,0.00, 5,"Nevada"
us,c0003isj,8,"Thursday, May 19, 2011 08:55:04 UTC",44.3934,149.2363,4.7,54.10,157,"Kuril Islands"
nm,051911b,B,"Thursday, May 19, 2011 08:41:10 UTC",36.8209,-90.7913,2.5,8.70,14,"southeastern Missouri"
us,c0003ise,8,"Thursday, May 19, 2011 08:32:50 UTC",38.3648,141.6897,4.7,62.40,136,"near the east coast of Honshu, Japan"
ak,10237691,2,"Thursday, May 19, 2011 08:23:06 UTC",63.4115,-149.6878,1.1,99.80,15,"Central Alaska"
ci,14987636,2,"Thursday, May 19, 2011 08:22:56 UTC",33.0343,-115.5665,1.5,10.80,25,"Southern California"
ak,10236866,2,"Thursday, May 19, 2011 08:15:44 UTC",61.8885,-150.8424,1.5,0.70,16,"Southern Alaska"
ak,10236863,2,"Thursday, May 19, 2011 08:05:45 UTC",61.0567,-151.3916,1.6,64.60,21,"Southern Alaska"
nc,71572055,2,"Thursday, May 19, 2011 08:04:21 UTC",37.9782,-118.6678,1.5,11.10,18,"Central California"
ak,10237688,2,"Thursday, May 19, 2011 07:55:15 UTC",57.1758,-155.0886,1.8,10.10, 7,"Alaska Peninsula"
nc,71572035,2,"Thursday, May 19, 2011 07:26:41 UTC",37.3978,-118.5882,1.9,13.70,30,"Central California"
nc,71572030,2,"Thursday, May 19, 2011 07:21:29 UTC",37.4002,-118.5857,1.5,13.10,20,"Central California"
us,c0003irr,5,"Thursday, May 19, 2011 07:19:52 UTC",-20.3167,168.2284,5.0,124.50,23,"Loyalty Islands, New Caledonia"
ci,14987612,2,"Thursday, May 19, 2011 07:15:17 UTC",33.2223,-116.7503,1.1,14.30,43,"Southern California"
nn,00337804,7,"Thursday, May 19, 2011 06:54:01 UTC",38.4278,-118.7375,2.0,5.50,31,"Nevada"
ak,10237686,2,"Thursday, May 19, 2011 06:52:36 UTC",51.2932,175.7227,2.8,25.00,10,"Rat Islands, Aleutian Islands, Alaska"
us,c0003ir5,7,"Thursday, May 19, 2011 06:35:24 UTC",46.8107,152.6475,4.8,35.00,83,"Kuril Islands"
us,c0003iqs,7,"Thursday, May 19, 2011 06:33:11 UTC",-6.9645,123.4439,5.1,623.70,65,"Banda Sea"
ak,10236845,2,"Thursday, May 19, 2011 06:23:09 UTC",51.0785,-178.5685,2.3,7.00,11,"Andreanof Islands, Aleutian Islands, Alaska"
us,c0003iqu,8,"Thursday, May 19, 2011 06:23:03 UTC",-18.9783,-174.5156,4.8,35.00,29,"Tonga"
ak,10236844,2,"Thursday, May 19, 2011 06:03:03 UTC",63.3198,-145.4069,1.3,7.60,13,"Central Alaska"
uw,05190558,1,"Thursday, May 19, 2011 05:58:29 UTC",44.4778,-123.5013,2.0,17.70,25,"Oregon"
ci,14987588,4,"Thursday, May 19, 2011 05:41:25 UTC",33.1883,-115.6043,1.2,0.10,14,"Southern California"
ci,14987580,2,"Thursday, May 19, 2011 05:39:36 UTC",33.0090,-116.4490,1.5,6.00,42,"Southern California"
ci,36999519,2,"Thursday, May 19, 2011 05:36:22 UTC",33.1900,-115.6030,1.1,1.20,22,"Southern California"
ak,10237681,2,"Thursday, May 19, 2011 05:15:31 UTC",60.7481,-149.5650,1.1,7.40, 7,"Kenai Peninsula, Alaska"
ci,14987548,2,"Thursday, May 19, 2011 05:02:51 UTC",33.0058,-115.5417,1.6,6.00,15,"Southern California"
ci,14987540,2,"Thursday, May 19, 2011 04:55:35 UTC",33.0107,-115.5413,2.0,6.00,25,"Southern California"
ci,14987532,2,"Thursday, May 19, 2011 04:49:50 UTC",33.0160,-115.5438,2.1,6.00,33,"Southern California"
ak,10237680,2,"Thursday, May 19, 2011 04:47:19 UTC",60.3632,-152.5491,1.7,101.00,16,"Southern Alaska"
ci,14987524,2,"Thursday, May 19, 2011 04:44:34 UTC",34.0237,-116.7878,1.2,13.40,42,"Southern California"
ci,14987516,2,"Thursday, May 19, 2011 04:42:29 UTC",33.8905,-118.3100,1.7,12.00,20,"Greater Los Angeles area, California"
uw,05190429,1,"Thursday, May 19, 2011 04:29:40 UTC",46.4088,-119.2653,1.0,0.00,10,"Washington"
pr,11139001,0,"Thursday, May 19, 2011 04:13:57 UTC",18.9318,-64.3560,3.1,36.20, 5,"Virgin Islands region"
nc,71572005,2,"Thursday, May 19, 2011 04:01:00 UTC",40.0148,-120.1927,1.4,0.00,10,"Northern California"
nc,71572000,4,"Thursday, May 19, 2011 03:59:41 UTC",39.2717,-122.7677,1.6,2.30,14,"Northern California"
ak,10236828,2,"Thursday, May 19, 2011 03:58:39 UTC",63.1019,-150.9293,1.9,125.60,30,"Central Alaska"
ak,10236824,2,"Thursday, May 19, 2011 03:43:50 UTC",62.1911,-145.6249,1.3,20.20, 9,"Central Alaska"
us,c0003inv,3,"Thursday, May 19, 2011 03:43:04 UTC",5.0768,127.1740,4.5,31.20,20,"Philippine Islands region"
ak,10236822,2,"Thursday, May 19, 2011 03:41:41 UTC",61.6613,-150.6460,1.6,40.30,26,"Southern Alaska"
ak,10237676,2,"Thursday, May 19, 2011 03:33:53 UTC",62.0933,-152.4697,1.2,2.10,11,"Central Alaska"
hv,60236326,1,"Thursday, May 19, 2011 03:28:22 UTC",19.3280,-155.1322,1.9,7.60,28,"Island of Hawaii, Hawaii"
ci,14987492,2,"Thursday, May 19, 2011 03:26:42 UTC",33.0095,-116.4468,1.3,6.50,30,"Southern California"
ak,10236815,2,"Thursday, May 19, 2011 03:14:59 UTC",61.2771,-149.3043,1.9,30.70,22,"Southern Alaska"
nn,00337790,7,"Thursday, May 19, 2011 02:50:29 UTC",39.7770,-119.9012,1.1,6.30,15,"Nevada"
us,2011lcad,1,"Thursday, May 19, 2011 02:46:45 UTC",35.5876,-97.1692,2.6,5.00, 6,"Oklahoma"
ak,10236807,2,"Thursday, May 19, 2011 02:29:50 UTC",63.9365,-148.7834,1.2,0.00,12,"Central Alaska"
ak,10236808,3,"Thursday, May 19, 2011 02:26:02 UTC",62.1832,-148.1322,1.2,13.30,12,"Central Alaska"
ak,10236803,2,"Thursday, May 19, 2011 02:14:03 UTC",61.4197,-149.9863,1.8,27.20,22,"Southern Alaska"
pr,11139000,0,"Thursday, May 19, 2011 01:48:11 UTC",18.6009,-68.4130,3.4,125.50,14,"Dominican Republic"
nn,00337782,7,"Thursday, May 19, 2011 01:42:46 UTC",37.1535,-117.3813,2.1,15.70,39,"Nevada"
nn,00337779,7,"Thursday, May 19, 2011 01:32:45 UTC",38.4312,-118.7353,1.4,5.30,26,"Nevada"
ci,14987476,4,"Thursday, May 19, 2011 01:25:55 UTC",36.0853,-117.8755,1.0,5.10,16,"Central California"
nc,71571945,2,"Thursday, May 19, 2011 01:19:25 UTC",37.4685,-118.8413,1.1,7.10,16,"Central California"
nc,71571950,2,"Thursday, May 19, 2011 01:19:25 UTC",37.4682,-118.8413,1.1,7.30,28,"Central California"
ci,14987468,2,"Thursday, May 19, 2011 01:17:18 UTC",33.9420,-116.8428,1.1,18.50,32,"Southern California"
ak,10236793,2,"Thursday, May 19, 2011 01:12:56 UTC",51.4961,-177.7508,2.3,14.60,20,"Andreanof Islands, Aleutian Islands, Alaska"
ci,14987452,2,"Thursday, May 19, 2011 00:56:30 UTC",33.7033,-116.7298,1.1,18.00,53,"Southern California"
ak,10236723,2,"Thursday, May 19, 2011 00:49:08 UTC",63.1852,-150.4563,2.3,113.20,41,"Central Alaska"
ak,10236661,2,"Thursday, May 19, 2011 00:40:21 UTC",62.0350,-149.3280,1.6,30.90,24,"Central Alaska"
ak,10237667,2,"Thursday, May 19, 2011 00:37:03 UTC",63.0043,-150.5331,1.0,91.00, 7,"Central Alaska"
nc,71571930,3,"Thursday, May 19, 2011 00:18:16 UTC",38.7883,-122.7695,1.6,2.60,69,"Northern California"
nn,00337775,7,"Thursday, May 19, 2011 00:16:46 UTC",37.1543,-117.3765,1.8,14.70,28,"Nevada"
nn,00337774,7,"Thursday, May 19, 2011 00:13:51 UTC",38.4376,-118.7395,1.4,2.00,11,"Nevada"
nc,71571920,3,"Wednesday, May 18, 2011 23:45:06 UTC",38.8143,-122.8205,1.0,3.70,58,"Northern California"
nm,051911a,A,"Wednesday, May 18, 2011 23:35:00 UTC",35.2680,-92.3330,2.0,3.50,10,"Arkansas"
ak,10236517,1,"Wednesday, May 18, 2011 23:24:28 UTC",61.3025,-146.8046,2.1,0.10,25,"Southern Alaska"
pr,11138006,0,"Wednesday, May 18, 2011 23:13:53 UTC",18.8190,-67.5299,3.0,6.80, 5,"Puerto Rico region"
ak,10236511,1,"Wednesday, May 18, 2011 23:13:04 UTC",65.0053,-147.3316,1.5,0.50,11,"northern Alaska"
ak,10236510,2,"Wednesday, May 18, 2011 23:11:43 UTC",51.8142,-166.3028,2.7,33.90,14,"south of the Aleutian Islands"
nc,71571910,2,"Wednesday, May 18, 2011 23:02:57 UTC",38.6335,-120.1498,1.6,0.00,24,"Northern California"
uw,05182257,1,"Wednesday, May 18, 2011 22:57:58 UTC",45.8391,-122.4538,1.1,11.40, 6,"Washington"
ak,10236495,2,"Wednesday, May 18, 2011 22:40:13 UTC",54.8309,-160.4245,2.4,15.00,10,"Alaska Peninsula"
nn,00337764,7,"Wednesday, May 18, 2011 22:30:09 UTC",36.0717,-115.5932,1.4,7.80,10,"Nevada"
pr,11138007,0,"Wednesday, May 18, 2011 22:23:03 UTC",17.8139,-68.5930,3.1,28.80,12,"Dominican Republic region"
ak,10236479,2,"Wednesday, May 18, 2011 22:05:43 UTC",63.5074,-150.8663,1.6,11.10,17,"Central Alaska"
nc,71571875,3,"Wednesday, May 18, 2011 21:45:38 UTC",36.9703,-121.8237,1.2,14.40,15,"Northern California"
ak,10236471,2,"Wednesday, May 18, 2011 21:44:22 UTC",61.0636,-152.2031,1.9,100.60,13,"Southern Alaska"
us,c0003if7,6,"Wednesday, May 18, 2011 21:39:42 UTC",-25.3717,-175.9678,5.4,32.70,71,"south of Tonga"
nc,71571870,2,"Wednesday, May 18, 2011 21:33:57 UTC",36.5570,-121.1455,1.0,4.30,11,"Central California"
ak,10236459,1,"Wednesday, May 18, 2011 21:17:04 UTC",61.4566,-150.3484,1.9,27.60,19,"Southern Alaska"
nn,00337747,7,"Wednesday, May 18, 2011 20:10:09 UTC",38.4323,-118.7223,1.3,4.60,19,"Nevada"
nc,71571855,2,"Wednesday, May 18, 2011 19:37:52 UTC",37.3238,-122.1048,1.5,0.00,15,"San Francisco Bay area, California"
ak,10236436,2,"Wednesday, May 18, 2011 19:26:21 UTC",52.7863,-169.2766,2.2,3.10, 7,"Fox Islands, Aleutian Islands, Alaska"
nn,00337726,7,"Wednesday, May 18, 2011 19:18:35 UTC",38.4344,-118.7352,3.5,3.10,21,"Nevada"
nc,71571840,2,"Wednesday, May 18, 2011 19:09:28 UTC",36.7558,-121.5948,1.4,0.00,33,"Central California"
ak,10236432,2,"Wednesday, May 18, 2011 19:01:40 UTC",61.3526,-150.2912,1.6,45.30,15,"Southern Alaska"
us,c0003i5c,7,"Wednesday, May 18, 2011 18:51:27 UTC",-6.6715,147.9120,5.6,54.50,55,"eastern New Guinea region, Papua New Guinea"
nn,00337719,7,"Wednesday, May 18, 2011 18:43:15 UTC",38.4292,-118.7348,1.3,5.30,15,"Nevada"
us,c0003i52,6,"Wednesday, May 18, 2011 18:29:02 UTC",-6.6611,147.8500,4.9,53.80,77,"eastern New Guinea region, Papua New Guinea"
nc,71571815,3,"Wednesday, May 18, 2011 17:43:43 UTC",36.4145,-120.9935,2.9,7.50,89,"Central California"
us,c0003i3q,A,"Wednesday, May 18, 2011 17:42:36 UTC",55.4684,163.8521,5.6,18.20,440,"off the east coast of the Kamchatka Peninsula, Russia"
uw,05181739,1,"Wednesday, May 18, 2011 17:39:41 UTC",48.1753,-123.5163,1.1,1.90,10,"Strait of Juan de Fuca, Washington"
us,c0003i2v,7,"Wednesday, May 18, 2011 17:15:57 UTC",39.7019,144.3466,5.0,46.10,267,"off the east coast of Honshu, Japan"
nn,00337702,7,"Wednesday, May 18, 2011 17:03:19 UTC",38.3858,-118.8327,2.4,4.30,43,"Nevada"
nc,71571805,3,"Wednesday, May 18, 2011 17:00:39 UTC",35.5717,-120.8207,1.4,5.50,39,"Central California"
nc,71571800,2,"Wednesday, May 18, 2011 16:50:16 UTC",35.5413,-120.7762,1.2,6.20,20,"Central California"
ci,14987228,2,"Wednesday, May 18, 2011 16:39:21 UTC",34.3342,-116.9172,1.2,5.30,39,"Southern California"
nn,00337694,7,"Wednesday, May 18, 2011 16:19:40 UTC",38.4240,-118.7233,1.4,4.30,13,"Nevada"
uu,05181613,2,"Wednesday, May 18, 2011 16:13:46 UTC",40.2563,-111.8843,1.4,4.70,12,"Utah"
nn,00337700,7,"Wednesday, May 18, 2011 15:57:22 UTC",39.7729,-119.9045,2.5,8.00,16,"Nevada"
nn,00337688,7,"Wednesday, May 18, 2011 15:55:50 UTC",39.7737,-119.9075,3.0,8.60,16,"Nevada"
nn,00337687,7,"Wednesday, May 18, 2011 15:48:26 UTC",38.4372,-118.7320,1.3,5.40,15,"Nevada"
mb,11403258,2,"Wednesday, May 18, 2011 15:18:54 UTC",45.9781,-111.5598,1.0,8.70,11,"western Montana"
ak,10236315,1,"Wednesday, May 18, 2011 14:37:43 UTC",62.5859,-150.5498,1.4,100.00, 8,"Central Alaska"
hv,60236176,1,"Wednesday, May 18, 2011 14:27:19 UTC",19.9340,-155.5968,1.9,24.90,37,"Island of Hawaii, Hawaii"
nc,71571760,6,"Wednesday, May 18, 2011 13:58:23 UTC",35.5448,-120.7623,2.0,4.00,70,"Central California"
us,2011lbbg,3,"Wednesday, May 18, 2011 13:32:46 UTC",36.9141,140.8293,4.5,39.40,24,"near the east coast of Honshu, Japan"
ak,10236304,1,"Wednesday, May 18, 2011 13:19:51 UTC",62.1411,-150.9207,1.8,69.80,22,"Central Alaska"
pr,11138004,0,"Wednesday, May 18, 2011 13:09:43 UTC",19.3010,-64.7699,3.2,94.50, 7,"Virgin Islands region"
ak,10236300,1,"Wednesday, May 18, 2011 13:00:34 UTC",62.4937,-149.3588,1.2,0.00, 9,"Central Alaska"
us,c0003hyd,6,"Wednesday, May 18, 2011 12:18:57 UTC",-23.8567,179.9550,4.6,549.20,102,"south of the Fiji Islands"
nc,71571745,3,"Wednesday, May 18, 2011 11:54:22 UTC",38.7938,-122.8020,1.2,3.50,45,"Northern California"
us,c0003hxy,4,"Wednesday, May 18, 2011 11:48:27 UTC",36.6214,141.1061,4.5,50.60,24,"near the east coast of Honshu, Japan"
ak,10236284,1,"Wednesday, May 18, 2011 11:14:43 UTC",60.2170,-150.9568,2.8,69.70,46,"Kenai Peninsula, Alaska"
nn,00337660,7,"Wednesday, May 18, 2011 11:04:38 UTC",38.4403,-118.7285,1.2,5.50, 7,"Nevada"
ak,10236280,1,"Wednesday, May 18, 2011 11:03:00 UTC",61.6078,-146.7245,1.4,8.40,13,"Southern Alaska"
nn,00337659,7,"Wednesday, May 18, 2011 11:00:32 UTC",38.4362,-118.7290,1.8,4.50,19,"Nevada"
hv,60236171,1,"Wednesday, May 18, 2011 10:43:42 UTC",19.8452,-155.3647,2.6,30.50,42,"Island of Hawaii, Hawaii"
nn,00337656,7,"Wednesday, May 18, 2011 10:39:53 UTC",38.4183,-118.7370,1.5,5.90,19,"Nevada"
nn,00337655,7,"Wednesday, May 18, 2011 10:35:45 UTC",38.4248,-118.7250,1.8,4.10,24,"Nevada"
pr,11138003,0,"Wednesday, May 18, 2011 10:07:14 UTC",18.7269,-64.3249,2.9,44.60, 5,"Anegada, British Virgin Islands"
pr,11138002,0,"Wednesday, May 18, 2011 10:06:36 UTC",17.9099,-64.8199,2.4,27.90, 3,"Virgin Islands region"
ci,14987116,2,"Wednesday, May 18, 2011 09:20:28 UTC",32.9982,-116.3422,1.6,9.50,59,"Southern California"
ci,14987108,2,"Wednesday, May 18, 2011 08:59:44 UTC",36.3918,-117.8670,1.6,6.20,20,"Central California"
ak,10236270,2,"Wednesday, May 18, 2011 08:59:38 UTC",54.8515,-160.3336,2.6,18.20, 9,"Alaska Peninsula"
nc,71571690,2,"Wednesday, May 18, 2011 08:53:37 UTC",38.7803,-122.7567,1.8,1.50,44,"Northern California"
ci,14987092,2,"Wednesday, May 18, 2011 08:48:18 UTC",33.0007,-116.4612,1.1,9.60,41,"Southern California"
nc,71571680,2,"Wednesday, May 18, 2011 08:45:33 UTC",38.8097,-122.7432,1.0,3.60,47,"Northern California"
ak,10236260,1,"Wednesday, May 18, 2011 08:37:27 UTC",63.3194,-149.8184,1.7,90.50,24,"Central Alaska"
ci,14987084,2,"Wednesday, May 18, 2011 08:35:51 UTC",34.0392,-116.8712,1.1,20.90,49,"Southern California"
us,c0003hwp,6,"Wednesday, May 18, 2011 08:10:14 UTC",-15.5918,-175.5439,4.9,47.90,73,"Tonga"
uw,05180746,1,"Wednesday, May 18, 2011 07:46:10 UTC",47.3903,-122.3071,1.7,25.60,41,"Seattle-Tacoma urban area, Washington"
ak,10236251,1,"Wednesday, May 18, 2011 07:24:32 UTC",61.4757,-149.9294,2.7,32.20,43,"Southern Alaska"
nn,00337645,7,"Wednesday, May 18, 2011 06:49:52 UTC",38.4150,-118.7275,1.2,5.50,11,"Nevada"
us,c0003hw5,6,"Wednesday, May 18, 2011 06:31:57 UTC",25.4353,142.7090,4.8,43.30,65,"Volcano Islands, Japan region"
ak,10236243,1,"Wednesday, May 18, 2011 06:24:58 UTC",63.5485,-148.9890,3.0,2.40,37,"Central Alaska"
nc,71571665,3,"Wednesday, May 18, 2011 06:15:15 UTC",38.8358,-122.8083,1.4,2.50,50,"Northern California"
ci,14987052,2,"Wednesday, May 18, 2011 05:54:26 UTC",34.3933,-119.5058,1.8,1.50,27,"Southern California"
pr,11138001,0,"Wednesday, May 18, 2011 05:43:16 UTC",17.9209,-65.1419,2.6,6.40, 6,"Virgin Islands region"
nc,71571660,2,"Wednesday, May 18, 2011 05:36:36 UTC",35.5445,-120.7765,1.1,5.70,20,"Central California"
ci,14987044,2,"Wednesday, May 18, 2011 05:35:32 UTC",33.2232,-116.7412,1.2,12.70,52,"Southern California"
uu,05180514,2,"Wednesday, May 18, 2011 05:14:31 UTC",38.2707,-112.5740,1.5,5.30, 9,"Utah"
us,c0003hvk,6,"Wednesday, May 18, 2011 05:01:40 UTC",-9.3695,112.5675,5.0,50.20,61,"south of Java, Indonesia"
ci,14987028,2,"Wednesday, May 18, 2011 04:29:45 UTC",33.0648,-116.4580,2.2,5.50,74,"Southern California"
nm,051811a,A,"Wednesday, May 18, 2011 04:26:58 UTC",35.2533,-92.4280,2.1,4.60,10,"Arkansas"
ci,14987020,2,"Wednesday, May 18, 2011 04:13:06 UTC",33.6528,-116.7427,2.0,14.80,83,"Southern California"
us,c0003hvh,5,"Wednesday, May 18, 2011 04:05:52 UTC",-4.9753,151.4975,4.5,136.30,34,"New Britain region, Papua New Guinea"
ak,10236225,1,"Wednesday, May 18, 2011 03:59:31 UTC",61.1488,-151.8569,2.0,4.20,20,"Southern Alaska"
ak,10236214,1,"Wednesday, May 18, 2011 03:37:53 UTC",63.1586,-150.5005,2.2,100.00,32,"Central Alaska"
us,c0003hv8,4,"Wednesday, May 18, 2011 03:36:46 UTC",30.8319,141.9529,4.5,18.30, 8,"Izu Islands, Japan region"
nn,00337636,7,"Wednesday, May 18, 2011 03:30:10 UTC",37.1257,-117.4052,2.5,4.20,23,"Central California"
us,c0003huy,5,"Wednesday, May 18, 2011 03:21:16 UTC",4.2311,97.5818,4.6,175.10,37,"northern Sumatra, Indonesia"
nc,71571620,2,"Wednesday, May 18, 2011 02:58:44 UTC",38.7865,-122.7425,1.2,2.10,18,"Northern California"
ak,10236206,1,"Wednesday, May 18, 2011 02:54:31 UTC",62.2764,-151.5172,2.0,98.80, 7,"Central Alaska"
us,c0003huh,8,"Wednesday, May 18, 2011 02:43:20 UTC",13.8843,144.7219,4.8,155.00,146,"Guam region"
nc,71571605,2,"Wednesday, May 18, 2011 02:38:43 UTC",37.3632,-121.7247,1.0,7.10,17,"San Francisco Bay area, California"
nc,71571600,4,"Wednesday, May 18, 2011 02:31:34 UTC",36.1685,-120.2392,1.5,8.50,31,"Central California"
ci,14986996,3,"Wednesday, May 18, 2011 02:27:46 UTC",33.4337,-116.8867,1.0,5.00,22,"Southern California"
pr,11138000,0,"Wednesday, May 18, 2011 02:27:26 UTC",19.1000,-64.7740,2.9,73.10, 3,"Virgin Islands region"
nc,71571595,3,"Wednesday, May 18, 2011 02:10:56 UTC",38.7872,-122.7698,1.3,3.90,42,"Northern California"
uu,05180206,2,"Wednesday, May 18, 2011 02:06:48 UTC",39.7037,-110.7012,2.3,6.60,17,"Utah"
ci,14986988,2,"Wednesday, May 18, 2011 02:06:09 UTC",34.4880,-119.0513,2.0,27.50,51,"Southern California"
nn,00337630,7,"Wednesday, May 18, 2011 02:04:43 UTC",40.0706,-120.1402,1.0,11.30, 5,"Northern California"
ak,10236172,2,"Wednesday, May 18, 2011 01:04:45 UTC",63.9289,-148.7468,1.4,0.00, 9,"Central Alaska"
ak,10236164,1,"Wednesday, May 18, 2011 00:57:26 UTC",61.3771,-146.5947,1.7,14.80,18,"Southern Alaska"
ak,10236155,2,"Wednesday, May 18, 2011 00:49:15 UTC",61.5383,-146.4894,3.3,28.10,64,"Southern Alaska"
ci,14986964,2,"Wednesday, May 18, 2011 00:13:17 UTC",32.6190,-115.7277,1.8,6.80,19,"Baja California, Mexico"
nc,71571565,2,"Tuesday, May 17, 2011 23:48:09 UTC",36.0058,-120.5748,1.7,3.30,46,"Central California"
ci,14986956,2,"Tuesday, May 17, 2011 23:30:55 UTC",35.0413,-117.6798,1.7,0.00,15,"Southern California"
hv,60236056,1,"Tuesday, May 17, 2011 23:22:34 UTC",19.6803,-155.7530,2.3,16.30,39,"Island of Hawaii, Hawaii"
ci,14986948,2,"Tuesday, May 17, 2011 23:20:23 UTC",34.5178,-118.6865,1.5,15.00,14,"Southern California"
nn,00337621,7,"Tuesday, May 17, 2011 23:19:22 UTC",38.4280,-118.7332,2.0,5.30,26,"Nevada"
us,c0003ht6,2,"Tuesday, May 17, 2011 23:16:43 UTC",25.5105,142.5148,4.9,45.20,75,"Volcano Islands, Japan region"
nn,00337614,7,"Tuesday, May 17, 2011 22:58:26 UTC",38.4305,-118.7308,1.3,5.40,15,"Nevada"
us,c0003hrl,5,"Tuesday, May 17, 2011 22:54:35 UTC",25.5805,142.6387,4.9,46.90,55,"Volcano Islands, Japan region"
uu,05172250,2,"Tuesday, May 17, 2011 22:50:50 UTC",36.9833,-113.5202,1.5,0.30, 7,"Arizona"
ak,10237174,2,"Tuesday, May 17, 2011 22:41:00 UTC",51.1237,-179.5523,2.7,6.00,10,"Andreanof Islands, Aleutian Islands, Alaska"
