Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10237557,1,"Friday, May 20, 2011 20:39:26 UTC",63.4915,-151.0665,1.7,3.20,13,"Central Alaska"
nc,71572800,2,"Friday, May 20, 2011 20:32:09 UTC",37.9818,-118.7773,1.8,8.40,33,"Central California"
ci,14988724,0,"Friday, May 20, 2011 20:28:08 UTC",33.7365,-117.6773,1.9,2.90,16,"Greater Los Angeles area, California"
nc,71572790,0,"Friday, May 20, 2011 20:24:24 UTC",38.8043,-122.7713,1.0,2.30,10,"Northern California"
us,c0003k3k,6,"Friday, May 20, 2011 20:13:42 UTC",0.3221,98.4797,4.5,60.10,40,"Nias region, Indonesia"
ci,14988692,0,"Friday, May 20, 2011 20:05:15 UTC",33.7932,-116.9663,1.3,0.00,21,"Southern California"
us,c0003k2s,4,"Friday, May 20, 2011 20:03:27 UTC",-23.4119,119.3244,4.6,12.00, 8,"Western Australia"
ci,14988684,0,"Friday, May 20, 2011 20:02:49 UTC",33.8417,-116.9468,1.4,11.00,15,"Southern California"
nc,71572785,2,"Friday, May 20, 2011 19:57:06 UTC",37.9828,-118.7743,2.9,8.80,40,"Central California"
us,c0003k0p,7,"Friday, May 20, 2011 19:43:15 UTC",-7.2101,146.8911,5.8,1.00,108,"eastern New Guinea region, Papua New Guinea"
nc,71572780,2,"Friday, May 20, 2011 19:40:10 UTC",38.2872,-122.2317,1.1,2.70, 8,"Northern California"
nn,00338074,7,"Friday, May 20, 2011 19:16:12 UTC",38.4310,-118.7348,1.8,6.30,28,"Nevada"
ci,14988636,0,"Friday, May 20, 2011 19:09:32 UTC",33.7803,-116.1458,1.7,8.60,65,"Southern California"
nc,71572770,2,"Friday, May 20, 2011 19:08:46 UTC",36.8910,-121.6275,1.5,0.00,20,"Central California"
us,c0003jyn,9,"Friday, May 20, 2011 18:46:24 UTC",46.5982,152.2479,5.0,62.30,270,"Kuril Islands"
ak,10237471,1,"Friday, May 20, 2011 18:23:43 UTC",59.9577,-141.6048,1.9,19.50,15,"Southeastern Alaska"
nc,71572765,0,"Friday, May 20, 2011 18:06:56 UTC",38.8458,-122.7655,1.0,1.40,14,"Northern California"
ci,14988628,0,"Friday, May 20, 2011 17:51:46 UTC",33.9713,-118.6803,1.8,12.20,20,"Santa Monica Bay, California"
us,c0003jx6,6,"Friday, May 20, 2011 17:44:34 UTC",34.3885,89.5433,4.1,12.90,42,"Xizang-Qinghai border region"
ci,14988580,0,"Friday, May 20, 2011 16:41:55 UTC",33.4862,-116.7780,1.2,7.00,43,"Southern California"
nc,71572740,4,"Friday, May 20, 2011 16:40:09 UTC",40.4645,-124.5360,2.2,22.60,22,"offshore Northern California"
uu,05201624,2,"Friday, May 20, 2011 16:24:38 UTC",39.4405,-111.2255,1.6,5.20, 8,"Utah"
ci,14988572,0,"Friday, May 20, 2011 16:22:59 UTC",33.9553,-116.7967,1.0,9.70,36,"Southern California"
ci,14988564,0,"Friday, May 20, 2011 16:20:50 UTC",33.4893,-116.5600,1.3,12.00,40,"Southern California"
pr,11140010,0,"Friday, May 20, 2011 16:11:47 UTC",19.1909,-64.1579,2.7,6.20, 3,"Virgin Islands region"
nn,00338050,7,"Friday, May 20, 2011 16:08:41 UTC",38.3679,-118.7692,2.1,1.30,20,"Nevada"
nc,71572715,2,"Friday, May 20, 2011 15:27:31 UTC",37.0663,-121.5080,1.1,6.20,35,"Northern California"
ak,10237428,1,"Friday, May 20, 2011 15:12:57 UTC",63.4935,-150.9936,1.7,0.60,11,"Central Alaska"
ci,14988524,0,"Friday, May 20, 2011 15:12:30 UTC",36.1057,-117.1413,2.2,6.50,35,"Central California"
ci,14988460,2,"Friday, May 20, 2011 14:39:54 UTC",32.9293,-116.2713,2.3,12.70,85,"Southern California"
nc,71572690,3,"Friday, May 20, 2011 14:38:48 UTC",36.6447,-121.2607,2.3,4.70,74,"Central California"
ci,14988452,2,"Friday, May 20, 2011 14:37:12 UTC",32.9473,-116.2532,1.0,12.60,14,"Southern California"
