"Year","CITATION","SAMPLE NAME","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","SAMPLING TECHNIQUE","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE, PREFIX","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","RIM/CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","METHOD","COMMENT","INSTITUTION","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)","SC(PPM)","V(PPM)","CR(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","PB(PPM)","TH(PPM)","TH(PPM)","U(PPM)","ND143_ND144","SM147_ND144","PB207_PB206","PB208_PB206","PB206_U238","ALBITE(MOL%)","ANORTHITE(MOL%)","ORTHOCLASE(MOL%)","ULVOSPINEL(MOL%)","AGE(MA)",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN020A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","65.84","1.08","14.75","","6.3","","3.08","1.63","0.17","1.77","5.03","0.37","","","69","9","40","3","3","134","19.1","36","295","39","167","9","","741","","","","","","","","","","","","","","","","8","2","2","0.9","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN001C","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","66.17","0.69","16.17","","4.83","","2.03","2.2","0.12","2.21","5.33","0.25","","","70","14","69","0","16","113","17.1","45","223","30","156","9","","813","","","","","","","","","","","","","","","","8","2.7","2.7","1","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN081B","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","66.85","0.68","16","","5.05","","4.36","1.22","0.17","1.44","4.01","0.22","","","20","8","63","0","2","84","17.1","28","448","19","86","6","","967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN005A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","68.66","0.87","14.71","","4.36","","2.76","0.97","0.13","2.06","5.28","0.2","","","31","11","63","11","3","81","17.8","41","323","39","176","8","","724","","","","","","","","","","","","","","","","6.5","2.8","2.8","1.4","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN017C","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","69.63","0.78","15.24","","3.83","","1.93","0.65","0.15","1.51","6.11","0.17","","","27","12","63","0","3","82","17.7","27","318","39","187","10","","715","","","","","","","","","","","","","","","","8.5","1.8","1.8","1.1","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN004A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","69.49","0.88","14.34","","4.34","","1.88","0.87","0.13","1.88","5.99","0.19","","","33","12","43","0","2","110","16.6","26","202","41","203","10","","747","","","","","","","","","","","","","","","","4.5","1.9","1.9","0.8","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN009A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","70.33","0.6","14.54","","3.6","","2.88","0.88","0.12","2.27","4.61","0.16","","","40","11","68","0","11","67","16","43","339","30","175","8","","765","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN013A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","70.56","0.57","14.79","","3.12","","2.3","0.79","0.13","2.22","5.38","0.14","","","24","6","96","0","1","71","17.9","42","296","37","183","9","","757","","","","","","","","","","","","","","","","10","2.7","2.7","1.6","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN021A","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","DACITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","71.88","0.47","14.26","","2.87","","1.75","0.85","0.1","2.21","5.5","0.11","","","37","8","88","0","8","72","16.3","34","269","29","183","8","","958","","","","","","","","","","","","","","","","11","2.8","2.8","1.9","","","","","","","","","","",
"2002"," [11391] TEKLAY M.(2002)","samp. ERN068C","ARABIAN-NUBIAN SHIELD (NEOPROTEROZOIC) / ETHIOPIA / NAKFA TERRANE","NAFKA AREA","16.5","38.5","16.5","38.5","OUTCROP","SUBAERIAL","VOLCANIC ROCK","RHYOLITE","METAVOLCANIC ROCK","850000000","850000000","PROTEROZOIC","UPPER","GREENSCHIST-FACIES METAMORPHISM","WHOLE ROCK","","","","","XRF","","UNIVERSITÄT MAINZ","73.24","0.39","13.08","","3.18","","3.32","1.43","0.08","0.15","4.98","0.12","","","66","22","83","2","21","65","12.5","4","312","13","117","5","","53","","","","","","","","","","","","","","","","5.5","2.7","2.7","1.3","","","","","","","","","","",
